contrast	Subtype	estimate	SE	df	z.ratio	p.value
Accumbens - Posterior Insula	L	-0.03355731818144245	0.014522204002893982	Inf	-2.3107593155112784	1
Accumbens - (Cerebellar Vermal Lobules I-V)	L	0.06384666453938045	0.014522204002893982	Inf	4.3964858589410465	0.023322612628063455
Supplementary Motor Cortex - Central Operculum	L	-0.06992233416316873	0.014522204002893984	Inf	-4.814856901144937	0.0031547167691753364
Supplementary Motor Cortex - Triangular Part of the Inferior Frontal Gyrus	L	-0.05257338488400427	0.01452220400289398	Inf	-3.6202070204720624	0.46821235001786843
Supplementary Motor Cortex - Thalamus Proper	L	-0.03348235976141142	0.014522204002893982	Inf	-2.305597673379266	1
Supplementary Motor Cortex - Putamen	L	0.003306241439045482	0.01452220400289398	Inf	0.2276680205281936	1
Supplementary Motor Cortex - Inferior Occipital Gyrus	L	-0.10075669846953732	0.01452220400289398	Inf	-6.938113419248108	8.523608485688783e-9
Supplementary Motor Cortex - Calcarine Cortex	L	-0.047527776019744006	0.014522204002893975	Inf	-3.272766035394676	0.8982925873235901
Supplementary Motor Cortex - Entorhinal Area	L	-0.11321492166166311	0.014522204002893977	Inf	-7.795987553893451	1.3812284649361573e-11
Supplementary Motor Cortex - Postcentral Gyrus	L	-0.0065494834999087065	0.014522204002893975	Inf	-0.45099789939623003	1
Supplementary Motor Cortex - Middle Cingulate Gyrus	L	-0.014193864073746912	0.014522204002893982	Inf	-0.9773904891377618	1
Supplementary Motor Cortex - Medial Orbital Gyrus	L	-0.060979296217973766	0.014522204002893975	Inf	-4.199038672492264	0.055875855114524975
Supplementary Motor Cortex - (Cerebellar Vermal Lobules VI-VII)	L	0.019075481571826564	0.014522204002893982	Inf	1.313539017082063	1
Supplementary Motor Cortex - Cerebral White Matter	L	0.054005950426606664	0.01452220400289398	Inf	3.718853585574502	0.349048200025765
Supplementary Motor Cortex - Middle Occipital Gyrus	L	-0.08982107010424568	0.014522204002893982	Inf	-6.185085272617446	1.3313771386469497e-6
Supplementary Motor Cortex - Planum Polare	L	-0.095025414850096	0.014522204002893975	Inf	-6.543456821785412	1.2894195544621567e-7
Supplementary Motor Cortex - (Cerebellar Vermal Lobules VIII-X)	L	0.008496556074135825	0.01452220400289398	Inf	0.5850734552718467	1
Supplementary Motor Cortex - Parahippocampus Gyrus	L	-0.10496083924674779	0.014522204002893984	Inf	-7.227610852032598	1.0544964901271214e-9
Supplementary Motor Cortex - Superior Frontal Gyrus Medial Segment	L	-0.05730575188420607	0.014522204002893979	Inf	-3.946078148522511	0.15668034372058925
Supplementary Motor Cortex - Middle Frontal Gyrus	L	-0.032053759810379015	0.014522204002893986	Inf	-2.207224179194242	1
Supplementary Motor Cortex - Anterior Cingulate Gyrus	L	-0.03740267202110373	0.01452220400289398	Inf	-2.5755506542705318	0.9999999995735118
Supplementary Motor Cortex - Precentral Gyrus	L	-0.014442894314894622	0.014522204002893982	Inf	-0.9945387292463627	1
Supplementary Motor Cortex - Orbital Part of the Inferior Frontal Gyrus	L	-0.06932475064838726	0.014522204002893982	Inf	-4.77370725783581	0.003872046950943897
Supplementary Motor Cortex - Temporal Pole	L	-0.10495285152125786	0.014522204002893982	Inf	-7.227060816687527	1.0587830612251992e-9
Supplementary Motor Cortex - Ventral DC	L	-0.0729617899918418	0.014522204002893977	Inf	-5.024154045577518	0.0010840452356212227
Supplementary Motor Cortex - Inferior Temporal Gyrus	L	-0.11924272359325776	0.014522204002893977	Inf	-8.21106242341005	4.762856775641922e-13
Supplementary Motor Cortex - Opercular Part of the Inferior Frontal Gyrus	L	-0.037864230276268174	0.01452220400289398	Inf	-2.6073335885326085	0.9999999971130459
Supplementary Motor Cortex - Transverse Temporal Gyrus	L	-0.07071024103456039	0.014522204002893979	Inf	-4.869112224320033	0.0024016734385732263
Supplementary Motor Cortex - Planum Temporale	L	-0.09081263873224825	0.014522204002893982	Inf	-6.253364758830761	8.616513822445881e-7
