Cluster,Region,W,p,p_corrected,sig
L,Postcentral Gyrus,4515.0,0.12487872451042553,0.15494212115182426,
L,Postcentral Gyrus Medial Segment,1486.0,5.770246575503817e-14,4.832581506984447e-13,***
L,Posterior Cingulate Gyrus,3149.0,2.328647807928874e-05,6.615863272569828e-05,***
L,Posterior Insula,2944.0,3.562103166668791e-06,1.3258939564822722e-05,***
L,Posterior Orbital Gyrus,4892.0,0.4292365198056258,0.4357401034390444,
L,Precentral Gyrus,4760.0,0.29324125824888336,0.31185975083611406,
L,Precentral Gyrus Medial Segment,3100.0,1.5080300504564594e-05,4.592636971844672e-05,***
L,Precuneus,3709.0,0.001775149630302752,0.00297337563075711,**
L,Putamen,3151.0,2.3698614707712814e-05,6.615863272569828e-05,***
L,Subcallosal Area,4879.0,0.4144098078516,0.42716087886241844,
L,Superior Frontal Gyrus,4286.0,0.04696570355551314,0.061700041925870204,
L,Superior Frontal Gyrus Medial Segment,3958.0,0.00843832196259749,0.012849262988500722,*
L,Superior Occipital Gyrus,4738.0,0.2737528902400087,0.3056907274346764,
L,Superior Parietal Lobule,4236.0,0.03704222748459482,0.05064957635648679,
L,Superior Temporal Gyrus,3381.0,0.0001613738733265228,0.0003861446254598939,***
L,Supplementary Motor Cortex,3020.0,7.2772300946893e-06,2.3217829349723003e-05,***
L,Supramarginal Gyrus,3720.0,0.0019107263341541537,0.0031224064484958124,**
L,Temporal Pole,4747.0,0.28161570924213664,0.30931561506923205,
L,Thalamus Proper,2471.0,2.5617656589946044e-08,1.32029460886645e-07,***
L,Transverse Temporal Gyrus,4707.0,0.24782513897860825,0.28142854765367376,
L,Triangular Part of the Inferior Frontal Gyrus,4705.0,0.2462134829194207,0.28142854765367376,
L,Ventral DC,4126.0,0.02131182929694067,0.02974776172697969,*
