contrast	Subtype	estimate	SE	df	z.ratio	p.value
OL - PL	IH	-0.009663770368841097	0.0642048027123701	Inf	-0.15051475840730547	1
OL - SC	IH	-0.14014003152088522	0.0642048027123701	Inf	-2.182703249610406	0.6540895635019908
OL - (TL-M)	IH	-0.1686705774309635	0.06420480271237011	Inf	-2.6270710337135936	0.2675695487856581
OL - (TL-O)	IH	0.09276719127638286	0.0642048027123701	Inf	1.4448637384958392	0.9969329706894474
PL - SC	IH	-0.13047626115204414	0.06420480271237011	Inf	-2.0321884912031	0.7876941989146956
PL - (TL-M)	IH	-0.15900680706212242	0.06420480271237011	Inf	-2.4765562753062884	0.38168674009862436
PL - (TL-O)	IH	0.10243096164522394	0.06420480271237011	Inf	1.5953784969031441	0.9853103671312277
SC - (TL-M)	IH	-0.028530545910078274	0.06420480271237011	Inf	-0.44436778410318817	1
SC - (TL-O)	IH	0.23290722279726808	0.06420480271237011	Inf	3.6275669881062442	0.010248361782958182
(TL-M) - (TL-O)	IH	0.26143776870734636	0.06420480271237011	Inf	4.071934772209433	0.0016771037579633719
BG - Cing	IL	-0.17685602614421028	0.07104937321350224	Inf	-2.489198963272494	0.37116642681123213
BG - FL	IL	0.01823827126487043	0.07104937321350223	Inf	0.2566985525694184	1
BG - Ins	IL	0.14234104295701638	0.07104937321350221	Inf	2.0034102557004108	0.8103558743957414
BG - OL	IL	0.4629134573716262	0.07104937321350224	Inf	6.515377074201324	2.6102640049430192e-9
BG - PL	IL	-0.03177853868438313	0.07104937321350223	Inf	-0.44727401871497346	1
BG - SC	IL	0.2591387908603653	0.07104937321350223	Inf	3.6473057979224865	0.009496050122585475
BG - (TL-M)	IL	0.3491028389262039	0.07104937321350224	Inf	4.913524541267316	3.220276655735432e-5
BG - (TL-O)	IL	0.24627700681470388	0.07104937321350224	Inf	3.466279794962376	0.018823298228763274
Cing - FL	IL	0.1950942974090807	0.07104937321350184	Inf	2.7458975158419276	0.19579602046420663
Cing - Ins	IL	0.3191970691012267	0.07104937321350184	Inf	4.492609218972929	2.53249753016882e-4
Cing - OL	IL	0.6397694835158365	0.07104937321350184	Inf	9.00457603747387	0
Cing - PL	IL	0.14507748745982715	0.07104937321350184	Inf	2.041924944557532	0.7797693109987811
Cing - SC	IL	0.43599481700457554	0.07104937321350184	Inf	6.136504761195014	3.036845930282084e-8
Cing - (TL-M)	IL	0.5259588650704142	0.07104937321350184	Inf	7.402723504539852	4.804157072157977e-12
Cing - (TL-O)	IL	0.42313303295891413	0.07104937321350184	Inf	5.955478758234904	9.33521657753289e-8
FL - Ins	IL	0.12410277169214595	0.07104937321350183	Inf	1.7467117031310018	0.9516188325243384
FL - OL	IL	0.44467518610675577	0.07104937321350184	Inf	6.258678521631942	1.3977119350805367e-8
FL - PL	IL	-0.05001680994925356	0.07104937321350183	Inf	-0.7039725712843958	0.9999999999459909
FL - SC	IL	0.24090051959549483	0.07104937321350183	Inf	3.390607245353087	0.024801681318447844
FL - (TL-M)	IL	0.3308645676613335	0.07104937321350183	Inf	4.656825988697925	1.1559729382137895e-4
FL - (TL-O)	IL	0.22803873554983345	0.07104937321350183	Inf	3.2095812423929764	0.04675763078514206
Ins - OL	IL	0.3205724144146098	0.07104937321350184	Inf	4.51196681850094	2.3119926855286188e-4
Ins - PL	IL	-0.1741195816413995	0.07104937321350181	Inf	-2.4506842744153983	0.40369350849656516
Ins - SC	IL	0.11679774790334888	0.07104937321350183	Inf	1.6438955422220851	0.9776491444386867
Ins - (TL-M)	IL	0.20676179596918753	0.07104937321350183	Inf	2.910114285566923	0.12216998835680293
Ins - (TL-O)	IL	0.1039359638576875	0.07104937321350183	Inf	1.4628695392619746	0.9962144499493305
OL - PL	IL	-0.49469199605600933	0.07104937321350184	Inf	-6.962651092916337	1.2021583728483165e-10
OL - SC	IL	-0.20377466651126094	0.07104937321350184	Inf	-2.8680712762788554	0.13841498067102964
OL - (TL-M)	IL	-0.11381061844542228	0.07104937321350184	Inf	-1.6018525329340179	0.984429799743892
OL - (TL-O)	IL	-0.21663645055692232	0.07104937321350184	Inf	-3.049097279238966	0.07939648423377277
PL - SC	IL	0.29091732954474836	0.07104937321350184	Inf	4.094579816637482	0.001521438551139176
PL - (TL-M)	IL	0.38088137761058705	0.07104937321350185	Inf	5.360798559982318	2.9827709299157235e-6
PL - (TL-O)	IL	0.278055545499087	0.07104937321350184	Inf	3.9135538136773715	0.003268908671909654
