Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI_AD,0,Frontal Operculum,-0.561879535685193,FL,AD
ADNI_AD,0,Frontal Pole,-0.31907361457134376,FL,AD
ADNI_AD,0,Fusiform Gyrus,-1.3800234772774609,TL-O,AD
ADNI_AD,0,Gyrus Rectus,-0.5711694699372207,FL,AD
ADNI_AD,0,Hippocampus,-1.3826596738113337,TL-M,AD
ADNI_AD,0,Inferior Occipital Gyrus,-0.9713668462802348,OL,AD
ADNI_AD,0,Inferior Temporal Gyrus,-1.4161955575430332,TL-O,AD
ADNI_AD,0,Lateral Orbital Gyrus,-0.44783392867135347,FL,AD
ADNI_AD,0,Lingual Gyrus,-0.8085375964336361,OL,AD
ADNI_AD,0,Medial Frontal Cortex,-0.7089325307109678,FL,AD
ADNI_AD,0,Medial Orbital Gyrus,-0.5709622457266934,FL,AD
ADNI_AD,0,Middle Cingulate Gyrus,-0.34214831518320443,Cing,AD
ADNI_AD,0,Middle Frontal Gyrus,-0.5119344781653489,FL,AD
ADNI_AD,0,Middle Occipital Gyrus,-1.040655604199303,OL,AD
ADNI_AD,0,Middle Temporal Gyrus,-1.2865748097313363,TL-O,AD
ADNI_AD,0,Occipital Fusiform Gyrus,-0.9790719547623178,OL,AD
ADNI_AD,0,Occipital Pole,-0.6398158400836536,OL,AD
ADNI_AD,0,Opercular Part of the Inferior Frontal Gyrus,-0.28741184705149775,FL,AD
ADNI_AD,0,Orbital Part of the Inferior Frontal Gyrus,-0.4528581512421201,FL,AD
ADNI_AD,0,Pallidum,0.1491697138377973,BG,AD
ADNI_AD,0,Parahippocampus Gyrus,-1.2579220909383828,TL-M,AD
ADNI_AD,0,Parietal Operculum,-0.4383341609123431,FL,AD
ADNI_AD,0,Planum Polare,-0.9594195834962181,TL-O,AD
ADNI_AD,0,Planum Temporale,-0.7460503981469768,TL-O,AD
ADNI_AD,0,Postcentral Gyrus,-0.3974777552218965,PL,AD
ADNI_AD,0,Postcentral Gyrus Medial Segment,-0.3529554788112012,PL,AD
