Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI_AD,0,Basal Forebrain,-0.8224166144523801,SC,AD
ADNI_AD,0,Calcarine Cortex,-0.19657785081781373,OL,AD
ADNI_AD,0,Caudate,-0.2912372673544155,BG,AD
ADNI_AD,0,Central Operculum,-0.6490269080456573,FL,AD
ADNI_AD,0,Cerebral White Matter,0.25833587504969624,SC,AD
ADNI_AD,0,Cuneus,-0.5808173182734725,OL,AD
ADNI_AD,0,Entorhinal Area,-1.3325515395686016,TL-M,AD
ADNI_AD,0,Frontal Operculum,-0.561879535685193,FL,AD
ADNI_AD,0,Frontal Pole,-0.31907361457134376,FL,AD
ADNI_AD,0,Fusiform Gyrus,-1.3800234772774609,TL-O,AD
ADNI_AD,0,Gyrus Rectus,-0.5711694699372207,FL,AD
ADNI_AD,0,Hippocampus,-1.3826596738113337,TL-M,AD
ADNI_AD,0,Inferior Occipital Gyrus,-0.9713668462802348,OL,AD
ADNI_AD,0,Inferior Temporal Gyrus,-1.4161955575430332,TL-O,AD
ADNI_AD,0,Lateral Orbital Gyrus,-0.44783392867135347,FL,AD
ADNI_AD,0,Lingual Gyrus,-0.8085375964336361,OL,AD
ADNI_AD,0,Medial Frontal Cortex,-0.7089325307109678,FL,AD
ADNI_AD,0,Medial Orbital Gyrus,-0.5709622457266934,FL,AD
ADNI_AD,0,Middle Cingulate Gyrus,-0.34214831518320443,Cing,AD
ADNI_AD,0,Middle Frontal Gyrus,-0.5119344781653489,FL,AD
ADNI_AD,0,Middle Occipital Gyrus,-1.040655604199303,OL,AD
ADNI_AD,0,Middle Temporal Gyrus,-1.2865748097313363,TL-O,AD
ADNI_AD,0,Occipital Fusiform Gyrus,-0.9790719547623178,OL,AD
ADNI_AD,0,Occipital Pole,-0.6398158400836536,OL,AD
ADNI_AD,0,Opercular Part of the Inferior Frontal Gyrus,-0.28741184705149775,FL,AD
ADNI_AD,0,Orbital Part of the Inferior Frontal Gyrus,-0.4528581512421201,FL,AD
ADNI_AD,0,Pallidum,0.1491697138377973,BG,AD
ADNI_AD,0,Parahippocampus Gyrus,-1.2579220909383828,TL-M,AD
ADNI_AD,0,Parietal Operculum,-0.4383341609123431,FL,AD
ADNI_AD,0,Planum Polare,-0.9594195834962181,TL-O,AD
ADNI_AD,0,Planum Temporale,-0.7460503981469768,TL-O,AD
ADNI_AD,0,Postcentral Gyrus,-0.3974777552218965,PL,AD
ADNI_AD,0,Postcentral Gyrus Medial Segment,-0.3529554788112012,PL,AD
ADNI_AD,0,Posterior Cingulate Gyrus,-0.7934342594103772,Cing,AD
ADNI_AD,0,Posterior Insula,-0.6783142732491114,Ins,AD
ADNI_AD,0,Posterior Orbital Gyrus,-0.7118249479518864,FL,AD
ADNI_AD,0,Precentral Gyrus,-0.3258501884414423,FL,AD
ADNI_AD,0,Precentral Gyrus Medial Segment,-0.21808227462357568,FL,AD
ADNI_AD,0,Precuneus,-0.7773450069714967,PL,AD
ADNI_AD,0,Putamen,-0.4360254192958068,BG,AD
ADNI_AD,0,Subcallosal Area,-0.6695567769700367,FL,AD
ADNI_AD,0,Superior Frontal Gyrus,-0.5940037517281174,FL,AD
ADNI_AD,0,Superior Frontal Gyrus Medial Segment,-0.7343850167909367,FL,AD
ADNI_AD,0,Superior Occipital Gyrus,-0.678540133345449,OL,AD
ADNI_AD,0,Superior Parietal Lobule,-0.6137225449500526,PL,AD
ADNI_AD,0,Superior Temporal Gyrus,-1.0358878874794988,TL-O,AD
ADNI_AD,0,Supplementary Motor Cortex,-0.400260049195875,FL,AD
ADNI_AD,0,Supramarginal Gyrus,-0.8701610433830003,PL,AD
ADNI_AD,0,Temporal Pole,-1.2124493290123406,TL-O,AD
ADNI_AD,0,Thalamus Proper,-0.389774583977329,SC,AD
ADNI_AD,0,Transverse Temporal Gyrus,-0.5278914583686551,TL-O,AD
ADNI_AD,0,Triangular Part of the Inferior Frontal Gyrus,-0.3373437420826007,FL,AD
ADNI_AD,0,Ventral DC,-0.5987904229584727,SC,AD
ADNI_AD,1,Accumbens,-0.7542848426472042,BG,AD
ADNI_AD,1,Amygdala,-0.5670137424862255,TL-M,AD
ADNI_AD,1,Angular Gyrus,-0.7471838527807109,PL,AD
ADNI_AD,1,Anterior Cingulate Gyrus,-0.706030820094385,Cing,AD
ADNI_AD,1,Anterior Insula,-0.43108085810733626,Ins,AD
ADNI_AD,1,Anterior Orbital Gyrus,-0.38130089610009654,FL,AD
ADNI_AD,1,Basal Forebrain,-0.6882454535259431,SC,AD
ADNI_AD,1,Calcarine Cortex,-0.4101557391042778,OL,AD
ADNI_AD,1,Caudate,-0.3975274190718586,BG,AD
ADNI_AD,1,Central Operculum,-0.7855682304175675,FL,AD
ADNI_AD,1,Cerebral White Matter,0.08952227029544353,SC,AD
ADNI_AD,1,Cuneus,-0.5437637099724459,OL,AD
ADNI_AD,1,Entorhinal Area,-0.38463366096628826,TL-M,AD
ADNI_AD,1,Frontal Operculum,-0.8844737745559884,FL,AD
ADNI_AD,1,Frontal Pole,-0.26153889813798525,FL,AD
ADNI_AD,1,Fusiform Gyrus,-0.661809476646508,TL-O,AD
ADNI_AD,1,Gyrus Rectus,-0.5748281973096179,FL,AD
ADNI_AD,1,Hippocampus,-0.774161327622167,TL-M,AD
ADNI_AD,1,Inferior Occipital Gyrus,-0.7091782412179585,OL,AD
ADNI_AD,1,Inferior Temporal Gyrus,-0.6064371677509051,TL-O,AD
ADNI_AD,1,Lateral Orbital Gyrus,-0.5396472648421925,FL,AD
ADNI_AD,1,Lingual Gyrus,-0.4808812825556407,OL,AD
ADNI_AD,1,Medial Frontal Cortex,-0.8113866333285553,FL,AD
ADNI_AD,1,Medial Orbital Gyrus,-0.7960075309323222,FL,AD
ADNI_AD,1,Middle Cingulate Gyrus,-0.757750515558419,Cing,AD
